constructor_id,name,nationality
alfa,Alfa Romeo,Swiss
lago,Talbot-Lago,French
era,ERA,British
maserati,Maserati,Italian
alta,Alta,British
ferrari,Ferrari,Italian
simca,Simca,French
cooper,Cooper,British
kurtis_kraft,Kurtis Kraft,American
deidt,Deidt,American
moore,Moore,American
lesovsky,Lesovsky,American
nichels,Nichels,American
marchese,Marchese,American
stevens,Stevens,American
langley,Langley,American
ewing,Ewing,American
rae,Rae,American
olson,Olson,American
wetteroth,Wetteroth,American
snowberger,Snowberger,American
adams,Adams,American
watson,Watson,American
hwm,HWM,British
veritas,Veritas,German
sherman,Sherman,American
schroeder,Schroeder,American
kuzma,Kuzma,American
pawl,Pawl,American
hall,Hall,American
bromme,Bromme,American
trevis,Trevis,American
brm,BRM,British
gordini,Gordini,French
frazer_nash,Frazer Nash,British
afm,AFM,German
butterworth,Aston Butterworth,British
turner,Turner,American
del_roy,Del Roy,American
connaught,Connaught,British
phillips,Phillips,American
pankratz,Pankratz,American
mercedes,Mercedes,German
lancia,Lancia,Italian
vanwall,Vanwall,British
epperly,Epperly,American
dunn,Dunn,American
team_lotus,Team Lotus,British
porsche,Porsche,German
cooper-climax,Cooper-Climax,British
cooper-maserati,Cooper-Maserati,British
elder,Elder,American
vhristensen,Christensen,American
sutton,Sutton,American
aston_martin,Aston Martin,British
cooper-borgward,Cooper-Borgward,British
behra-porsche,Behra-Porsche,Italian
meskowski,Meskowski,American
scarab,Scarab,American
lotus-climax,Lotus-Climax,British
de_tomaso-osca,De Tomaso-Osca,Italian
emeryson,Emeryson,British
jbw,JBW,British
lola,Lola,British
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
lotus-brm,Lotus-BRM,British
brabham,Brabham,British
ats,ATS,Italian
scirocco,Scirocco,British
tomaso,De Tomaso,Italian
brp,BRP,British
brabham-climax,Brabham-Climax,British
brabham-brm,Brabham-BRM,British
brabham-ford,Brabham-Ford,British
lds-alfa_romeo,LDS-Alfa Romeo,South African
re,RE,Rhodesian
honda,Honda,Japanese
brabham-repco,Brabham-Repco,British
mclaren-ford,McLaren-Ford,British
eagle-climax,Eagle-Climax,American
mclaren-seren,McLaren-Serenissima,British
cooper-ferrari,Cooper-Ferrari,British
shannon,Shannon,British
lds-climax,LDS-Climax,South African
mclaren-brm,McLaren-BRM,British
eagle-weslake,Eagle-Weslake,American
matra,Matra,French
lotus-ford,Lotus-Ford,British
cooper-ats,Cooper-ATS,British
matra-ford,Matra-Ford,French
lds,LDS,South African
cooper-brm,Cooper-BRM,British
march,March,British
tyrrell,Tyrrell,British
mclaren,McLaren,British
surtees,Surtees,British
march-ford,March-Ford,British
march-alfa_romeo,March-Alfa Romeo,British
lotus-pw,Lotus-Pratt &amp; Whitney,British
iso_marlboro,Iso Marlboro,British
shadow,Shadow,British
tecno,Tecno,Italian
hesketh,Hesketh,British
trojan,Trojan,British
amon,Amon,New Zealander
penske,Penske,American
shadow-ford,Shadow-Ford,British
williams,Williams,British
parnelli,Parnelli,American
fittipaldi,Fittipaldi,Brazilian
hill,Embassy Hill,British
ensign,Ensign,British
wolf,Wolf,Canadian
brabham-alfa_romeo,Brabham-Alfa Romeo,British
ligier,Ligier,French
boro,Boro,Dutch
merzario,Merzario,Italian
arrows,Arrows,British
renault,Renault,French
theodore,Theodore,Hong Kong
osella,Osella,Italian
toleman,Toleman,British
ram,RAM,British
spirit,Spirit,British
minardi,Minardi,Italian
zakspeed,Zakspeed,German
benetton,Benetton,Italian
ags,AGS,French
larrousse,Larrousse,French
rial,Rial,German
coloni,Coloni,Italian
eurobrun,Euro Brun,Italian
dallara,Dallara,Italian
leyton,Leyton House,British
onyx,Onyx,British
lambo,Lambo,Italian
jordan,Jordan,Irish
footwork,Footwork,British
fondmetal,Fondmetal,Italian
sauber,Sauber,Swiss
simtek,Simtek,British
pacific,Pacific,British
forti,Forti,Italian
prost,Prost,French
stewart,Stewart,British
bar,BAR,British
jaguar,Jaguar,British
toyota,Toyota,Japanese
red_bull,Red Bull,Austrian
toro_rosso,Toro Rosso,Italian
bmw_sauber,BMW Sauber,German
mf1,MF1,Russian
super_aguri,Super Aguri,Japanese
spyker,Spyker,Dutch
force_india,Force India,Indian
brawn,Brawn,British
lotus_racing,Lotus,Malaysian
hrt,HRT,Spanish
virgin,Virgin,British
lotus_f1,Lotus F1,British
marussia,Marussia,Russian
caterham,Caterham,Malaysian
manor,Manor Marussia,British
haas,Haas F1 Team,American
racing_point,Racing Point,British
alphatauri,AlphaTauri,Italian
alpine,Alpine F1 Team,French
rb,RB F1 Team,Italian
