season,round,driver_id,position,points,wins
1950,7,farina,1.0,30.0,3
1950,7,fangio,2.0,27.0,3
1950,7,fagioli,3.0,24.0,0
1950,7,rosier,4.0,13.0,0
1950,7,ascari,5.0,11.0,0
1950,7,parsons,6.0,9.0,1
1950,7,holland,7.0,6.0,0
1950,7,bira,8.0,5.0,0
1950,7,whitehead,9.0,4.0,0
1950,7,chiron,10.0,4.0,0
1950,7,reg_parnell,11.0,4.0,0
1950,7,rose,12.0,4.0,0
1950,7,serafini,13.0,3.0,0
1950,7,cabantous,14.0,3.0,0
1950,7,sommer,15.0,3.0,0
1950,7,manzon,16.0,3.0,0
1950,7,green,17.0,3.0,0
1950,7,etancelin,18.0,3.0,0
1950,7,bonetto,19.0,2.0,0
1950,7,chaboud,20.0,1.0,0
1950,7,bettenhausen,21.0,1.0,0
1950,7,chitwood,22.0,1.0,0
1950,7,graffenried,,0.0,0
1950,7,gerard,,0.0,0
1950,7,villoresi,,0.0,0
1950,7,wallard,,0.0,0
1950,7,pozzi,,0.0,0
1950,7,claes,,0.0,0
1950,7,levegh,,0.0,0
1950,7,harrison,,0.0,0
1950,7,faulkner,,0.0,0
1950,7,pagani,,0.0,0
1950,7,schell,,0.0,0
1950,7,george_connor,,0.0,0
1950,7,hampshire,,0.0,0
1950,7,crossley,,0.0,0
1950,7,paul_russo,,0.0,0
1950,7,branca,,0.0,0
1950,7,shawe_taylor,,0.0,0
1950,7,fry,,0.0,0
1950,7,flaherty,,0.0,0
1950,7,fohr,,0.0,0
1950,7,darter,,0.0,0
1950,7,hellings,,0.0,0
1950,7,mcgrath,,0.0,0
1950,7,ruttman,,0.0,0
1950,7,hartley,,0.0,0
1950,7,davies,,0.0,0
1950,7,mcdowell,,0.0,0
1950,7,walt_brown,,0.0,0
1950,7,webb,,0.0,0
1950,7,hoyt,,0.0,0
1950,7,ader,,0.0,0
1950,7,holmes,,0.0,0
1950,7,rathmann,,0.0,0
1950,7,murray,,0.0,0
1950,7,gonzalez,,0.0,0
1950,7,guy_mairesse,,0.0,0
1950,7,rol,,0.0,0
1950,7,kelly,,0.0,0
1950,7,taruffi,,0.0,0
1950,7,martin,,0.0,0
1950,7,trintignant,,0.0,0
1950,7,biondetti,,0.0,0
1950,7,louveau,,0.0,0
1950,7,peter_walker,,0.0,0
1950,7,rolt,,0.0,0
1950,7,comotti,,0.0,0
1950,7,leslie_johnson,,0.0,0
1950,7,pian,,0.0,0
1950,7,sanesi,,0.0,0
